id,store_id,sku,productName,price,dates
1,2,6d115a8864a70774b97675037fdaac18,Outdoors,176,2022-10-12
2,8,925dc61fa7fdf8a72acd572188cee5ee,Clothing,253,2023-01-21
3,6,01ae35cf358f494ff4d96719d6132f41,Baby,430,2023-02-27
4,8,8aebeb7d101a04504d90af7d6a642776,Baby,463,2022-04-23
5,8,2edbdb144ea7de358d79735d0f143c7b,Baby,301,2023-02-08
6,10,0cfc489c599210a5512cd45179eb3c7f,Electronics,290,2022-10-10
7,2,b98fa1be8793fb78d7fd787db9843410,Automotive,424,2023-02-28
8,1,784965acbedb67a2748f9d68d49b4b72,Clothing,136,2022-06-04
9,9,550a46eff392393195d98d41f0b5228f,Baby,432,2022-04-28
10,8,505c3ef021c650ed81e3925448776c55,Shoes,259,2022-04-11
11,2,498479d8a0e6a59c0365ad36a7d38cb1,Toys,170,2022-12-27
12,7,17a0bd5bdcda8fa60c73a66235472706,Tools,397,2023-03-05
13,3,eb908c2ac052a395b12d8fe5f4e1e146,Games,381,2023-01-07
14,6,80030e1f32e55b1a677d04a287d392f6,Home,201,2022-08-06
15,10,6a15242f24ce7366fff4d6f9a85fcfc5,Kids,256,2022-12-02
16,8,6e28a186442634f1754d620459b65e00,Outdoors,142,2022-12-17
17,9,d244826ccfe51060383a29caa67d64e0,Games,270,2023-01-18
18,2,82e31aa5d1d997ae7c0b77b840eda255,Music,116,2022-06-28
19,1,3fcd96bf45d298ba098a638417e77225,Movies,269,2022-07-19
20,8,58c65fb96b6fffcd08892f1c2283a29f,Jewelry,235,2022-12-20
21,1,0a1e9b1ae846d3d90585ca6b22c9a635,Computers,462,2022-03-22
22,1,74b7413e6b4b69e0c64dd2c49b36518d,Clothing,252,2023-02-26
23,6,5d124f76ed83554118cd676df7365e98,Toys,366,2023-02-01
24,6,b7a606c6d03c6681c878236b10fb73a3,Beauty,478,2022-10-26
25,4,7e3b0be90472fb8d45e229fee8d7cdeb,Games,141,2023-03-08
26,7,7086fc3d34982b7f9c2c7844d8806069,Games,266,2023-01-10
27,6,51ba8765367e660aa4de6ba98aa04144,Tools,291,2022-11-07
28,1,6475af3695f4b90fd66f4a33d1b8a2da,Automotive,396,2022-05-02
29,8,d41195d3651c5c4fde036e394f5e14a3,Industrial,139,2022-04-09
30,7,b73886da271125cbaf0f8b3ae63e62e2,Sports,481,2022-09-11
31,2,ba9b67d2c8bfcbbffe340ba01e8f25e3,Music,144,2022-11-30
32,1,757bb3bec166426a1aec8584763a3c1e,Kids,188,2022-11-13
33,6,069edc336b7f93bae17f9b4f7e7159c0,Computers,197,2022-05-14
34,6,6f0ee1abf37827950da4e5c6f4036364,Jewelry,291,2022-06-23
35,10,e19718f5ec6c88603800506da205ef4e,Automotive,140,2022-07-05
36,9,1d7f1fe0c4eb6e83e87eeaf895d8c7f9,Tools,112,2022-03-22
37,9,d9d4f77a4b5f140670a18e34e0c50393,Automotive,384,2022-11-26
38,4,612695248391116e949db80fc85aaa56,Electronics,323,2022-05-11
39,5,72521f7bb38f60674f27155511c42694,Electronics,321,2022-06-06
40,9,c129fe76b9874d57a7dddae0ef2d8273,Movies,496,2023-03-22
41,7,ee3b1f41e23841f66f7ffcc99f3d9a6e,Grocery,124,2022-10-23
42,3,de259d538a8259ca50f294b1b561234d,Beauty,154,2022-03-16
43,8,1f3edcbfff83bb80a52b006c0784b628,Home,191,2022-07-12
44,6,3100e2f897cd1566aaf2c484e4259983,Electronics,129,2022-08-28
45,8,99f44d12fcc5fb6d27fca4b0ea3c1dc8,Electronics,127,2022-09-26
46,10,b1c037bab3d964328006c8b438ed0b1d,Grocery,142,2022-06-01
47,3,40d585ccc20054234242ad7efa33cdd6,Baby,422,2022-06-01
48,8,47a60d335348dbcf5c52d5ea9c2274b7,Baby,492,2022-11-05
49,10,119461fe19252ea5b9565da47d1908c0,Automotive,428,2022-11-23
50,8,b3b7f7c77d5fdd9f2c7e3bd7079420e6,Kids,455,2022-09-02
51,7,e1a84a9d19c8a59db0427882a3f4844e,Music,196,2023-01-28
52,7,db086d57367f9183ab92c1de2396e1ed,Industrial,249,2022-08-30
53,4,d2b379ecfa541713ca05357ba0365f86,Home,129,2022-05-18
54,7,184ea91bd38c2bfd00dfbf004f648503,Garden,403,2022-07-16
55,10,c64042b26cb626e1c2cde40bfdb8e52d,Sports,159,2023-02-16
56,4,dc4665073f9c902e146aea4ce6f6da2e,Home,103,2022-08-20
57,2,280c9b02d7d1b0b19ed4b2b61915457c,Clothing,206,2023-02-07
58,3,ba1737a6719b6b040f65571b03f17a59,Movies,446,2022-11-01
59,4,ec8cec0c7e0809482b4452f9aab97ea9,Shoes,152,2022-09-13
60,9,45275c9f7284762b4332174dd4fad2b5,Electronics,340,2022-12-05
61,6,71af0266516add18767e5dfb7243a11e,Music,403,2022-05-18
62,5,85bf28b4d615c2cc07b19b82d2b3f1fc,Toys,228,2022-08-11
63,2,c5e8d825a4a20dd1bd75ba034d869409,Industrial,113,2023-03-06
64,5,df5480603810f693dd4e8699c43bdbb5,Grocery,201,2022-11-27
